account_link_id,account_id_a,account_id_b,link_type,shared_identifier,link_strength
AL-00001,A-0001,A-0006,shared_device,DEV-001,0.63
AL-00002,A-0001,A-0087,shared_device,DEV-X01,0.75
AL-00003,A-0087,A-0089,shared_device,DEV-X01,0.75
AL-00004,A-0089,A-0112,shared_device,DEV-X01,0.75
AL-00005,A-0112,A-0117,shared_device,DEV-X01,0.75
AL-00006,A-0002,A-0004,shared_device,DEV-002,0.71
AL-00007,A-0004,A-0005,shared_device,DEV-002,0.71
AL-00008,A-0005,A-0008,shared_device,DEV-002,0.71
AL-00009,A-0002,A-0004,shared_device,DEV-X02,0.71
AL-00010,A-0004,A-0048,shared_device,DEV-X02,0.71
AL-00011,A-0048,A-0050,shared_device,DEV-X02,0.71
AL-00012,A-0003,A-0007,shared_device,DEV-003,0.63
AL-00013,A-0009,A-0010,shared_device,DEV-006,0.79
AL-00014,A-0010,A-0012,shared_device,DEV-006,0.79
AL-00015,A-0012,A-0022,shared_device,DEV-006,0.79
AL-00016,A-0022,A-0023,shared_device,DEV-006,0.79
AL-00017,A-0023,A-0024,shared_device,DEV-006,0.79
AL-00018,A-0010,A-0012,shared_device,DEV-X04,0.63
AL-00019,A-0011,A-0113,shared_device,DEV-X03,0.67
AL-00020,A-0113,A-0118,shared_device,DEV-X03,0.67
AL-00021,A-0013,A-0014,shared_device,DEV-005,0.71
AL-00022,A-0014,A-0018,shared_device,DEV-005,0.71
AL-00023,A-0018,A-0026,shared_device,DEV-005,0.71
AL-00024,A-0015,A-0017,shared_device,DEV-004,0.75
AL-00025,A-0017,A-0019,shared_device,DEV-004,0.75
AL-00026,A-0019,A-0021,shared_device,DEV-004,0.75
AL-00027,A-0021,A-0025,shared_device,DEV-004,0.75
AL-00028,A-0016,A-0020,shared_device,DEV-007,0.63
AL-00029,A-0027,A-0029,shared_device,DEV-008,0.75
AL-00030,A-0029,A-0031,shared_device,DEV-008,0.75
AL-00031,A-0031,A-0033,shared_device,DEV-008,0.75
AL-00032,A-0033,A-0034,shared_device,DEV-008,0.75
AL-00033,A-0027,A-0029,shared_device,DEV-X05,0.79
AL-00034,A-0029,A-0074,shared_device,DEV-X05,0.79
AL-00035,A-0074,A-0098,shared_device,DEV-X05,0.79
AL-00036,A-0098,A-0100,shared_device,DEV-X05,0.79
AL-00037,A-0100,A-0114,shared_device,DEV-X05,0.79
AL-00038,A-0028,A-0036,shared_device,DEV-X06,0.67
AL-00039,A-0036,A-0038,shared_device,DEV-X06,0.67
AL-00040,A-0030,A-0032,shared_device,DEV-009,0.67
AL-00041,A-0032,A-0035,shared_device,DEV-009,0.67
AL-00042,A-0036,A-0037,shared_device,DEV-013,0.87
AL-00043,A-0037,A-0039,shared_device,DEV-013,0.87
AL-00044,A-0039,A-0043,shared_device,DEV-013,0.87
AL-00045,A-0043,A-0044,shared_device,DEV-013,0.87
AL-00046,A-0044,A-0045,shared_device,DEV-013,0.87
AL-00047,A-0045,A-0046,shared_device,DEV-013,0.87
AL-00048,A-0046,A-0047,shared_device,DEV-013,0.87
AL-00049,A-0037,A-0039,shared_device,DEV-X07,0.71
AL-00050,A-0039,A-0049,shared_device,DEV-X07,0.71
AL-00051,A-0049,A-0051,shared_device,DEV-X07,0.71
AL-00052,A-0038,A-0042,shared_device,DEV-011,0.63
AL-00053,A-0040,A-0041,shared_device,DEV-012,0.63
AL-00054,A-0048,A-0059,shared_device,DEV-016,0.67
AL-00055,A-0059,A-0063,shared_device,DEV-016,0.67
AL-00056,A-0050,A-0051,shared_device,DEV-019,0.79
AL-00057,A-0051,A-0054,shared_device,DEV-019,0.79
AL-00058,A-0054,A-0060,shared_device,DEV-019,0.79
AL-00059,A-0060,A-0062,shared_device,DEV-019,0.79
AL-00060,A-0062,A-0066,shared_device,DEV-019,0.79
AL-00061,A-0052,A-0058,shared_device,DEV-015,0.71
AL-00062,A-0058,A-0064,shared_device,DEV-015,0.71
AL-00063,A-0064,A-0067,shared_device,DEV-015,0.71
AL-00064,A-0053,A-0055,shared_device,DEV-014,0.87
AL-00065,A-0055,A-0056,shared_device,DEV-014,0.87
AL-00066,A-0056,A-0057,shared_device,DEV-014,0.87
AL-00067,A-0057,A-0061,shared_device,DEV-014,0.87
AL-00068,A-0061,A-0065,shared_device,DEV-014,0.87
AL-00069,A-0065,A-0070,shared_device,DEV-014,0.87
AL-00070,A-0070,A-0071,shared_device,DEV-014,0.87
AL-00071,A-0068,A-0069,shared_device,DEV-017,0.63
AL-00072,A-0072,A-0073,shared_device,DEV-020,0.79
AL-00073,A-0073,A-0082,shared_device,DEV-020,0.79
AL-00074,A-0082,A-0084,shared_device,DEV-020,0.79
AL-00075,A-0084,A-0085,shared_device,DEV-020,0.79
AL-00076,A-0085,A-0086,shared_device,DEV-020,0.79
AL-00077,A-0075,A-0076,shared_device,DEV-022,0.79
AL-00078,A-0076,A-0078,shared_device,DEV-022,0.79
AL-00079,A-0078,A-0079,shared_device,DEV-022,0.79
AL-00080,A-0079,A-0080,shared_device,DEV-022,0.79
AL-00081,A-0080,A-0081,shared_device,DEV-022,0.79
AL-00082,A-0077,A-0083,shared_device,DEV-021,0.63
AL-00083,A-0088,A-0090,shared_device,DEV-024,0.67
AL-00084,A-0090,A-0097,shared_device,DEV-024,0.67
AL-00085,A-0089,A-0091,shared_device,DEV-023,0.71
AL-00086,A-0091,A-0093,shared_device,DEV-023,0.71
AL-00087,A-0093,A-0096,shared_device,DEV-023,0.71
AL-00088,A-0092,A-0094,shared_device,DEV-025,0.67
AL-00089,A-0094,A-0095,shared_device,DEV-025,0.67
AL-00090,A-0098,A-0101,shared_device,DEV-028,0.79
AL-00091,A-0101,A-0107,shared_device,DEV-028,0.79
AL-00092,A-0107,A-0108,shared_device,DEV-028,0.79
AL-00093,A-0108,A-0110,shared_device,DEV-028,0.79
AL-00094,A-0110,A-0111,shared_device,DEV-028,0.79
AL-00095,A-0099,A-0101,shared_device,DEV-X10,0.67
AL-00096,A-0101,A-0116,shared_device,DEV-X10,0.67
AL-00097,A-0102,A-0109,shared_device,DEV-026,0.63
AL-00098,A-0103,A-0104,shared_device,DEV-027,0.71
AL-00099,A-0104,A-0105,shared_device,DEV-027,0.71
AL-00100,A-0105,A-0106,shared_device,DEV-027,0.71
AL-00101,A-0112,A-0125,shared_device,DEV-030,0.71
AL-00102,A-0125,A-0128,shared_device,DEV-030,0.71
AL-00103,A-0128,A-0136,shared_device,DEV-030,0.71
AL-00104,A-0114,A-0123,shared_device,DEV-032,0.71
AL-00105,A-0123,A-0133,shared_device,DEV-032,0.71
AL-00106,A-0133,A-0134,shared_device,DEV-032,0.71
AL-00107,A-0115,A-0118,shared_device,DEV-031,0.75
AL-00108,A-0118,A-0126,shared_device,DEV-031,0.75
AL-00109,A-0126,A-0127,shared_device,DEV-031,0.75
AL-00110,A-0127,A-0129,shared_device,DEV-031,0.75
AL-00111,A-0117,A-0120,shared_device,DEV-029,0.63
AL-00112,A-0119,A-0131,shared_device,DEV-033,0.63
AL-00113,A-0121,A-0122,shared_device,DEV-034,0.87
AL-00114,A-0122,A-0124,shared_device,DEV-034,0.87
AL-00115,A-0124,A-0130,shared_device,DEV-034,0.87
AL-00116,A-0130,A-0132,shared_device,DEV-034,0.87
AL-00117,A-0132,A-0135,shared_device,DEV-034,0.87
AL-00118,A-0135,A-0137,shared_device,DEV-034,0.87
AL-00119,A-0137,A-0138,shared_device,DEV-034,0.87
AL-00120,A-0139,A-0156,shared_device,DEV-038,0.63
AL-00121,A-0139,A-0141,shared_device,DEV-B01,0.63
AL-00122,A-0140,A-0142,shared_device,DEV-039,0.75
AL-00123,A-0142,A-0147,shared_device,DEV-039,0.75
AL-00124,A-0147,A-0148,shared_device,DEV-039,0.75
AL-00125,A-0148,A-0152,shared_device,DEV-039,0.75
AL-00126,A-0140,A-0142,shared_device,DEV-B02,0.63
AL-00127,A-0141,A-0146,shared_device,DEV-036,0.67
AL-00128,A-0146,A-0149,shared_device,DEV-036,0.67
AL-00129,A-0143,A-0145,shared_device,DEV-037,0.75
AL-00130,A-0145,A-0150,shared_device,DEV-037,0.75
AL-00131,A-0150,A-0151,shared_device,DEV-037,0.75
AL-00132,A-0151,A-0153,shared_device,DEV-037,0.75
AL-00133,A-0144,A-0154,shared_device,DEV-035,0.75
AL-00134,A-0154,A-0155,shared_device,DEV-035,0.75
AL-00135,A-0155,A-0157,shared_device,DEV-035,0.75
AL-00136,A-0157,A-0158,shared_device,DEV-035,0.75
