account_id,created_at,geo_region,language,account_age_days,prior_enforcement,risk_tier,role,synthetic_persona
A-0001,2026-05-27T08:00:00+00:00,US-Northeast,en,35,No,High,amplifier,persona_001_01
A-0002,2026-05-22T17:00:00+00:00,US-South,es,39,No,High,observer,persona_001_02
A-0003,2026-06-12T02:00:00+00:00,US-South,en,19,No,Medium,originator,persona_001_03
A-0004,2026-05-29T19:00:00+00:00,US-West,en,32,No,Medium,amplifier,persona_001_04
A-0005,2026-06-07T05:00:00+00:00,US-Midwest,en,24,No,Medium,copycat,persona_001_05
A-0006,2026-06-15T07:00:00+00:00,APAC,es,16,No,Medium,amplifier,persona_001_06
A-0007,2026-05-19T04:00:00+00:00,US-Northeast,es,43,No,Medium,amplifier,persona_001_07
A-0008,2026-06-03T23:00:00+00:00,US-South,en,27,No,Medium,originator,persona_001_08
A-0009,2026-06-28T11:00:00+00:00,US-Northeast,de,2,No,Medium,reporter,persona_002_01
A-0010,2026-06-26T10:00:00+00:00,US-Northeast,en,4,No,Medium,coordinator,persona_002_02
A-0011,2026-06-29T05:00:00+00:00,US-Northeast,de,2,No,Medium,researcher,persona_002_03
A-0012,2026-06-26T13:00:00+00:00,US-South,fr,4,No,Medium,intimidator,persona_002_04
A-0013,2026-06-27T02:00:00+00:00,US-Midwest,ar,4,No,Medium,intimidator,persona_002_05
A-0014,2026-06-27T22:00:00+00:00,EU-West,es,3,No,Medium,intimidator,persona_002_06
A-0015,2026-06-26T15:00:00+00:00,US-Northeast,ar,4,No,Medium,coordinator,persona_002_07
A-0016,2026-06-26T13:00:00+00:00,EU-West,fr,4,No,Medium,amplifier,persona_002_08
A-0017,2026-06-27T22:00:00+00:00,US-Northeast,de,3,No,Medium,researcher,persona_002_09
A-0018,2026-06-28T08:00:00+00:00,US-West,de,3,No,Medium,coordinator,persona_002_10
A-0019,2026-06-28T19:00:00+00:00,EU-West,en,2,No,Medium,amplifier,persona_002_11
A-0020,2026-06-29T07:00:00+00:00,US-Midwest,de,2,No,Medium,amplifier,persona_002_12
A-0021,2026-06-27T20:00:00+00:00,EU-West,en,3,No,Medium,amplifier,persona_002_13
A-0022,2026-06-27T18:00:00+00:00,US-South,fr,3,No,Medium,intimidator,persona_002_14
A-0023,2026-06-26T13:00:00+00:00,US-West,de,4,No,Medium,coordinator,persona_002_15
