account_id,event_count,avg_risk,max_risk,distinct_patterns,targets,role,prior_enforcement,risk_tier,geo_region
A-0116,23,0.75,0.875,6,5,controller,Yes,High,APAC
A-0112,14,0.725,0.887,6,5,controller,Yes,High,APAC
A-0117,18,0.723,0.894,5,5,controller,Yes,High,US-West
A-0115,22,0.698,0.876,6,5,amplifier,Yes,High,US-West
A-0113,17,0.672,0.872,6,5,replacement_account,Yes,High,US-Midwest
A-0114,18,0.667,0.894,6,5,amplifier,Yes,High,EU-West
A-0130,12,0.769,0.872,5,3,amplifier,No,Medium,APAC
A-0122,17,0.75,0.886,6,5,infrastructure_helper,No,Medium,US-Midwest
A-0137,20,0.733,0.895,5,5,controller,No,Medium,US-Northeast
A-0126,15,0.722,0.867,5,5,controller,No,Medium,APAC
A-0135,20,0.72,0.867,6,5,infrastructure_helper,No,Medium,US-South
A-0131,14,0.718,0.895,5,5,replacement_account,No,Medium,US-South
A-0121,9,0.712,0.838,3,3,amplifier,No,Medium,APAC
A-0136,23,0.706,0.887,6,5,controller,No,Medium,EU-West
A-0132,12,0.698,0.873,5,5,controller,No,Medium,US-Northeast
A-0120,17,0.696,0.87,3,4,replacement_account,No,High,US-Northeast
A-0123,16,0.694,0.874,5,5,amplifier,No,Medium,US-West
A-0124,17,0.692,0.889,5,5,infrastructure_helper,No,Medium,APAC
A-0125,21,0.691,0.899,6,5,infrastructure_helper,No,Medium,US-South
A-0138,21,0.69,0.875,5,5,replacement_account,No,Medium,US-West
A-0127,15,0.687,0.824,5,5,replacement_account,No,Medium,APAC
A-0134,19,0.673,0.887,6,5,infrastructure_helper,No,Medium,US-Midwest
A-0118,5,0.665,0.837,3,2,amplifier,No,High,US-West
A-0129,15,0.663,0.864,6,5,replacement_account,No,Medium,US-South
A-0119,17,0.649,0.848,6,5,amplifier,No,High,US-Northeast
A-0128,17,0.649,0.868,6,5,infrastructure_helper,No,Medium,US-Midwest
A-0133,16,0.643,0.835,4,5,amplifier,No,Medium,APAC
