content_hash,case_count,cases,content_count,example_placeholder
H-1125610,3,"C-003,C-004,C-009",78,[neutral platform activity]
H-3535194,3,"C-003,C-004,C-009",61,[generic discussion]
H-0150340,3,"C-003,C-004,C-009",55,[non-sensitive coordination]
H-7681805,2,"C-004,C-009",29,[template family B with minor variation]
H-7857967,2,"C-004,C-009",26,[symbol-substituted phrase]
H-7863818,2,"C-004,C-009",26,[coordination instruction placeholder]
H-9513918,2,"C-004,C-009",25,[obfuscated phrase variant]
H-2688866,2,"C-004,C-009",23,[coded phrase family C]
H-1177423,2,"C-004,C-009",22,[amplification request placeholder]
H-6004343,2,"C-003,C-009",22,[generic discussion]
H-9389197,2,"C-003,C-009",22,[non-sensitive coordination]
H-9039076,2,"C-003,C-009",21,[non-sensitive coordination]
H-0014346,2,"C-003,C-009",20,[neutral platform activity]
H-9835021,2,"C-004,C-009",20,[research handoff placeholder]
H-8413927,2,"C-003,C-009",19,[neutral platform activity]
H-8456337,2,"C-004,C-009",19,[template family A]
H-0362584,2,"C-004,C-009",17,[multilingual coded variant]
H-7576070,2,"C-003,C-009",17,[generic discussion]
