timestamp,event_count,avg_risk
2026-07-17 06:00:00+00:00,9,0.727
2026-07-17 09:00:00+00:00,17,0.727
2026-07-17 12:00:00+00:00,17,0.712
2026-07-17 15:00:00+00:00,18,0.706
2026-07-17 18:00:00+00:00,13,0.682
2026-07-17 21:00:00+00:00,13,0.757
2026-07-18 00:00:00+00:00,7,0.66
2026-07-18 03:00:00+00:00,11,0.707
2026-07-18 06:00:00+00:00,13,0.72
2026-07-18 09:00:00+00:00,11,0.745
2026-07-18 12:00:00+00:00,19,0.618
2026-07-18 15:00:00+00:00,10,0.766
2026-07-18 18:00:00+00:00,12,0.685
2026-07-18 21:00:00+00:00,8,0.713
2026-07-19 00:00:00+00:00,15,0.668
2026-07-19 03:00:00+00:00,19,0.688
2026-07-19 06:00:00+00:00,13,0.668
2026-07-19 09:00:00+00:00,17,0.676
2026-07-19 12:00:00+00:00,9,0.773
2026-07-19 15:00:00+00:00,13,0.713
2026-07-19 18:00:00+00:00,10,0.695
2026-07-19 21:00:00+00:00,16,0.678
2026-07-20 00:00:00+00:00,16,0.725
2026-07-20 03:00:00+00:00,20,0.728
2026-07-20 06:00:00+00:00,12,0.656
2026-07-20 09:00:00+00:00,14,0.694
2026-07-20 12:00:00+00:00,11,0.706
2026-07-20 15:00:00+00:00,14,0.702
2026-07-20 18:00:00+00:00,13,0.667
2026-07-20 21:00:00+00:00,15,0.655
2026-07-21 00:00:00+00:00,11,0.734
2026-07-21 03:00:00+00:00,15,0.703
2026-07-21 06:00:00+00:00,19,0.69
