case_id,account_id,relationship,ground_truth_role
C-001,A-0001,primary,amplifier
C-001,A-0002,primary,observer
C-001,A-0003,primary,originator
C-001,A-0004,primary,amplifier
C-001,A-0005,primary,copycat
C-001,A-0006,primary,amplifier
C-001,A-0007,primary,amplifier
C-001,A-0008,primary,originator
C-002,A-0009,primary,reporter
C-002,A-0010,primary,coordinator
C-002,A-0011,primary,researcher
C-002,A-0012,primary,intimidator
C-002,A-0013,primary,intimidator
C-002,A-0014,primary,intimidator
C-002,A-0015,primary,coordinator
C-002,A-0016,primary,amplifier
C-002,A-0017,primary,researcher
C-002,A-0018,primary,coordinator
C-002,A-0019,primary,amplifier
C-002,A-0020,primary,amplifier
C-002,A-0021,primary,amplifier
C-002,A-0022,primary,intimidator
C-002,A-0023,primary,coordinator
C-002,A-0024,primary,amplifier
C-002,A-0025,primary,researcher
C-002,A-0026,primary,intimidator
C-003,A-0027,primary,replacement_account
C-003,A-0028,primary,amplifier
C-003,A-0029,primary,replacement_account
C-003,A-0030,primary,infrastructure_helper
C-003,A-0031,primary,amplifier
C-003,A-0032,primary,infrastructure_helper
C-003,A-0033,primary,replacement_account
C-003,A-0034,primary,infrastructure_helper
C-003,A-0035,primary,controller
C-004,A-0036,primary,scout
C-004,A-0037,primary,recruiter
C-004,A-0038,primary,observer
C-004,A-0039,primary,migrator
C-004,A-0040,primary,scout
C-004,A-0041,primary,scout
C-004,A-0042,primary,amplifier
C-004,A-0043,primary,scout
C-004,A-0044,primary,scout
C-004,A-0045,primary,observer
C-004,A-0046,primary,amplifier
C-004,A-0047,primary,scout
C-005,A-0048,primary,amplifier
C-005,A-0049,primary,escalating_actor
C-005,A-0050,primary,copycat
C-005,A-0051,primary,amplifier
C-005,A-0052,primary,observer
C-005,A-0053,primary,escalating_actor
C-005,A-0054,primary,amplifier
C-005,A-0055,primary,escalating_actor
C-005,A-0056,primary,escalating_actor
C-005,A-0057,primary,observer
C-005,A-0058,primary,originator
C-005,A-0059,primary,originator
C-005,A-0060,primary,observer
C-005,A-0061,primary,originator
C-005,A-0062,primary,observer
C-005,A-0063,primary,amplifier
C-005,A-0064,primary,amplifier
C-005,A-0065,primary,observer
C-005,A-0066,primary,escalating_actor
C-005,A-0067,primary,observer
C-005,A-0068,primary,observer
C-005,A-0069,primary,copycat
C-005,A-0070,primary,originator
C-005,A-0071,primary,observer
C-006,A-0072,primary,intimidator
C-006,A-0073,primary,amplifier
C-006,A-0074,primary,coordinator
C-006,A-0075,primary,researcher
C-006,A-0076,primary,coordinator
C-006,A-0077,primary,amplifier
C-006,A-0078,primary,amplifier
C-006,A-0079,primary,coordinator
C-006,A-0080,primary,coordinator
C-006,A-0081,primary,coordinator
C-006,A-0082,primary,intimidator
C-006,A-0083,primary,amplifier
C-006,A-0084,primary,amplifier
C-006,A-0085,primary,amplifier
C-006,A-0086,primary,amplifier
C-007,A-0087,primary,originator
C-007,A-0088,primary,amplifier
C-007,A-0089,primary,amplifier
C-007,A-0090,primary,amplifier
C-007,A-0091,primary,observer
C-007,A-0092,primary,escalating_actor
C-007,A-0093,primary,copycat
C-007,A-0094,primary,observer
C-007,A-0095,primary,observer
C-007,A-0096,primary,copycat
C-007,A-0097,primary,amplifier
C-008,A-0098,primary,intimidator
C-008,A-0099,primary,intimidator
C-008,A-0100,primary,intimidator
C-008,A-0101,primary,reporter
C-008,A-0102,primary,researcher
C-008,A-0103,primary,reporter
C-008,A-0104,primary,reporter
C-008,A-0105,primary,intimidator
C-008,A-0106,primary,reporter
C-008,A-0107,primary,intimidator
C-008,A-0108,primary,intimidator
C-008,A-0109,primary,intimidator
C-008,A-0110,primary,intimidator
C-008,A-0111,primary,intimidator
C-009,A-0112,primary,controller
C-009,A-0113,primary,replacement_account
C-009,A-0114,primary,amplifier
C-009,A-0115,primary,amplifier
C-009,A-0116,primary,controller
C-009,A-0117,primary,controller
C-009,A-0118,primary,amplifier
C-009,A-0119,primary,amplifier
C-009,A-0120,primary,replacement_account
C-009,A-0121,primary,amplifier
C-009,A-0122,primary,infrastructure_helper
C-009,A-0123,primary,amplifier
C-009,A-0124,primary,infrastructure_helper
C-009,A-0125,primary,infrastructure_helper
C-009,A-0126,primary,controller
C-009,A-0127,primary,replacement_account
C-009,A-0128,primary,infrastructure_helper
C-009,A-0129,primary,replacement_account
C-009,A-0130,primary,amplifier
C-009,A-0131,primary,replacement_account
C-009,A-0132,primary,controller
C-009,A-0133,primary,amplifier
C-009,A-0134,primary,infrastructure_helper
C-009,A-0135,primary,infrastructure_helper
C-009,A-0136,primary,controller
C-009,A-0137,primary,controller
C-009,A-0138,primary,replacement_account
C-010,A-0139,primary,volunteer
C-010,A-0140,primary,organizer
C-010,A-0141,primary,volunteer
C-010,A-0142,primary,participant
C-010,A-0143,primary,organizer
C-010,A-0144,primary,participant
C-010,A-0145,primary,participant
C-010,A-0146,primary,organizer
C-010,A-0147,primary,volunteer
C-010,A-0148,primary,volunteer
C-010,A-0149,primary,volunteer
C-010,A-0150,primary,logistics_helper
C-010,A-0151,primary,logistics_helper
C-010,A-0152,primary,participant
C-010,A-0153,primary,volunteer
C-010,A-0154,primary,logistics_helper
C-010,A-0155,primary,volunteer
C-010,A-0156,primary,organizer
C-010,A-0157,primary,participant
C-010,A-0158,primary,organizer
C-001,A-0112,cross_case_link,controller
C-002,A-0113,cross_case_link,replacement_account
C-003,A-0114,cross_case_link,amplifier
C-007,A-0115,cross_case_link,amplifier
C-008,A-0116,cross_case_link,controller
C-004,A-0027,cross_case_link,replacement_account
C-010,A-0048,cross_case_link,amplifier
C-007,A-0072,cross_case_link,intimidator
