content_id,account_id,case_id,normalized_text,content_hash,language,category,semantic_family,severity_score,safe_placeholder
CT-000001,A-0001,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.891,Yes
CT-000002,A-0007,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.827,Yes
CT-000003,A-0006,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.733,Yes
CT-000004,A-0007,C-001,[more specific intent reference],H-1299902,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000005,A-0007,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.663,Yes
CT-000006,A-0004,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.99,Yes
CT-000007,A-0002,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.88,Yes
CT-000008,A-0002,C-001,[more specific intent reference],H-1299902,es,Violent Threat,THREAT_FAM_X1-P07,0.777,Yes
CT-000009,A-0002,C-001,[continued focus on same fictional target],H-0808684,es,Violent Threat,THREAT_FAM_X1-P03,0.685,Yes
CT-000010,A-0003,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.825,Yes
CT-000011,A-0003,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.746,Yes
CT-000012,A-0007,C-001,[more specific intent reference],H-1299902,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000013,A-0003,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.791,Yes
CT-000014,A-0008,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.676,Yes
CT-000015,A-0005,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.788,Yes
CT-000016,A-0006,C-001,[target-specific grievance reference],H-8238971,es,Violent Threat,THREAT_FAM_X1-P03,0.722,Yes
CT-000017,A-0002,C-001,[non-sensitive coordination],H-6470216,es,Violent Threat,THREAT_FAM_X1-default,0.89,Yes
CT-000018,A-0008,C-001,[coded phrase family C],H-1057060,en,Violent Threat,THREAT_FAM_X1,0.871,Yes
CT-000019,A-0003,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.826,Yes
CT-000020,A-0003,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.86,Yes
CT-000021,A-0005,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.73,Yes
CT-000022,A-0007,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.878,Yes
CT-000023,A-0004,C-001,[coded phrase family C],H-1057060,en,Violent Threat,THREAT_FAM_X1,0.814,Yes
CT-000024,A-0008,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.706,Yes
CT-000025,A-0005,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.811,Yes
CT-000026,A-0005,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.707,Yes
CT-000027,A-0006,C-001,[target-specific grievance reference],H-8238971,es,Violent Threat,THREAT_FAM_X1-P03,0.89,Yes
CT-000028,A-0004,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.777,Yes
CT-000029,A-0003,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.869,Yes
CT-000030,A-0001,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.778,Yes
CT-000031,A-0008,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.762,Yes
CT-000032,A-0006,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.839,Yes
CT-000033,A-0001,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.658,Yes
CT-000034,A-0007,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.786,Yes
CT-000035,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000036,A-0008,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.893,Yes
CT-000037,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.935,Yes
CT-000038,A-0005,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.727,Yes
CT-000039,A-0005,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.667,Yes
CT-000040,A-0002,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.709,Yes
CT-000041,A-0002,C-001,[coded phrase family C],H-1057060,es,Violent Threat,THREAT_FAM_X1,0.82,Yes
CT-000042,A-0007,C-001,[repeated target reference],H-7577498,es,Violent Threat,THREAT_FAM_X1-P03,0.753,Yes
CT-000043,A-0001,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.897,Yes
CT-000044,A-0007,C-001,[repeated target reference],H-7577498,es,Violent Threat,THREAT_FAM_X1-P03,0.871,Yes
CT-000045,A-0002,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.707,Yes
CT-000046,A-0001,C-001,[time-linked escalation reference],H-2519291,en,Violent Threat,THREAT_FAM_X1-P07,0.781,Yes
CT-000047,A-0004,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.789,Yes
CT-000048,A-0004,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.74,Yes
CT-000049,A-0007,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.889,Yes
CT-000050,A-0008,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.99,Yes
CT-000051,A-0006,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.97,Yes
CT-000052,A-0001,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.857,Yes
CT-000053,A-0003,C-001,[repeated target reference],H-7577498,en,Violent Threat,THREAT_FAM_X1-P03,0.756,Yes
CT-000054,A-0002,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.651,Yes
CT-000055,A-0002,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.731,Yes
CT-000056,A-0007,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.943,Yes
CT-000057,A-0003,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.941,Yes
CT-000058,A-0004,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.805,Yes
CT-000059,A-0002,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.99,Yes
CT-000060,A-0007,C-001,[coded phrase family C],H-1057060,es,Violent Threat,THREAT_FAM_X1,0.872,Yes
CT-000061,A-0005,C-001,[repeated target reference],H-7577498,en,Violent Threat,THREAT_FAM_X1-P03,0.99,Yes
CT-000062,A-0002,C-001,[continued focus on same fictional target],H-0808684,es,Violent Threat,THREAT_FAM_X1-P03,0.683,Yes
CT-000063,A-0007,C-001,[continued focus on same fictional target],H-0808684,es,Violent Threat,THREAT_FAM_X1-P03,0.72,Yes
CT-000064,A-0006,C-001,[coded phrase family C],H-1057060,es,Violent Threat,THREAT_FAM_X1,0.98,Yes
CT-000065,A-0004,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.859,Yes
CT-000066,A-0003,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.833,Yes
CT-000067,A-0005,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.68,Yes
CT-000068,A-0001,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000069,A-0005,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.976,Yes
CT-000070,A-0006,C-001,[time-linked escalation reference],H-2519291,es,Violent Threat,THREAT_FAM_X1-P07,0.886,Yes
CT-000071,A-0005,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.662,Yes
CT-000072,A-0008,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.825,Yes
CT-000073,A-0003,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.956,Yes
CT-000074,A-0004,C-001,[more specific intent reference],H-1299902,en,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000075,A-0007,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.953,Yes
CT-000076,A-0008,C-001,[coded phrase family C],H-1057060,en,Violent Threat,THREAT_FAM_X1,0.661,Yes
CT-000077,A-0002,C-001,[continued focus on same fictional target],H-0808684,es,Violent Threat,THREAT_FAM_X1-P03,0.854,Yes
CT-000078,A-0007,C-001,[fictional location proximity reference],H-5809038,es,Violent Threat,THREAT_FAM_X1-P11,0.874,Yes
CT-000079,A-0004,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.909,Yes
CT-000080,A-0002,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.671,Yes
CT-000081,A-0001,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.779,Yes
CT-000082,A-0001,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.718,Yes
CT-000083,A-0001,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.754,Yes
CT-000084,A-0003,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.888,Yes
CT-000085,A-0001,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.851,Yes
CT-000086,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.816,Yes
CT-000087,A-0008,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.984,Yes
CT-000088,A-0001,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.986,Yes
CT-000089,A-0003,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.955,Yes
CT-000090,A-0003,C-001,[more specific intent reference],H-1299902,en,Violent Threat,THREAT_FAM_X1-P07,0.856,Yes
CT-000091,A-0006,C-001,[event date reference],H-4637430,es,Violent Threat,THREAT_FAM_X1-P11,0.751,Yes
CT-000092,A-0008,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.657,Yes
CT-000093,A-0004,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.879,Yes
CT-000094,A-0007,C-001,[more specific intent reference],H-1299902,es,Violent Threat,THREAT_FAM_X1-P07,0.785,Yes
CT-000095,A-0002,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.676,Yes
CT-000096,A-0008,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.675,Yes
CT-000097,A-0007,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000098,A-0003,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.911,Yes
CT-000099,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000100,A-0006,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.782,Yes
CT-000101,A-0004,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000102,A-0007,C-001,[more specific intent reference],H-1299902,es,Violent Threat,THREAT_FAM_X1-P07,0.972,Yes
CT-000103,A-0007,C-001,[fictional location proximity reference],H-5809038,es,Violent Threat,THREAT_FAM_X1-P11,0.82,Yes
CT-000104,A-0007,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.871,Yes
CT-000105,A-0007,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.71,Yes
CT-000106,A-0008,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.683,Yes
CT-000107,A-0005,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.99,Yes
CT-000108,A-0007,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.777,Yes
CT-000109,A-0007,C-001,[non-sensitive coordination],H-6470216,es,Violent Threat,THREAT_FAM_X1-default,0.641,Yes
CT-000110,A-0006,C-001,[template family B with minor variation],H-4170436,es,Violent Threat,THREAT_FAM_X1,0.71,Yes
CT-000111,A-0003,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.817,Yes
CT-000112,A-0007,C-001,[event date reference],H-4637430,es,Violent Threat,THREAT_FAM_X1-P11,0.99,Yes
CT-000113,A-0001,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.695,Yes
CT-000114,A-0002,C-001,[event date reference],H-4637430,es,Violent Threat,THREAT_FAM_X1-P11,0.963,Yes
CT-000115,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.766,Yes
CT-000116,A-0004,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.824,Yes
CT-000117,A-0002,C-001,[coded phrase family C],H-1057060,es,Violent Threat,THREAT_FAM_X1,0.985,Yes
CT-000118,A-0008,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.67,Yes
CT-000119,A-0008,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.697,Yes
CT-000120,A-0001,C-001,[more specific intent reference],H-1299902,en,Violent Threat,THREAT_FAM_X1-P07,0.956,Yes
CT-000121,A-0006,C-001,[repeated target reference],H-7577498,es,Violent Threat,THREAT_FAM_X1-P03,0.837,Yes
CT-000122,A-0003,C-001,[ambiguous grievance],H-8048511,en,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
CT-000123,A-0003,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.925,Yes
CT-000124,A-0008,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.938,Yes
CT-000125,A-0002,C-001,[template family A],H-9911857,es,Violent Threat,THREAT_FAM_X1,0.945,Yes
CT-000126,A-0002,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.842,Yes
CT-000127,A-0005,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.931,Yes
CT-000128,A-0005,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.693,Yes
CT-000129,A-0005,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.646,Yes
CT-000130,A-0003,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.69,Yes
CT-000131,A-0003,C-001,[template family A],H-9911857,en,Violent Threat,THREAT_FAM_X1,0.981,Yes
CT-000132,A-0008,C-001,[continued focus on same fictional target],H-0808684,en,Violent Threat,THREAT_FAM_X1-P03,0.881,Yes
CT-000133,A-0003,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.716,Yes
CT-000134,A-0006,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.934,Yes
CT-000135,A-0008,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.923,Yes
CT-000136,A-0003,C-001,[repeated target reference],H-7577498,en,Violent Threat,THREAT_FAM_X1-P03,0.936,Yes
CT-000137,A-0007,C-001,[continued focus on same fictional target],H-0808684,es,Violent Threat,THREAT_FAM_X1-P03,0.805,Yes
CT-000138,A-0006,C-001,[repeated target reference],H-7577498,es,Violent Threat,THREAT_FAM_X1-P03,0.746,Yes
CT-000139,A-0006,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.671,Yes
CT-000140,A-0007,C-001,[fictional location proximity reference],H-5809038,es,Violent Threat,THREAT_FAM_X1-P11,0.907,Yes
CT-000141,A-0004,C-001,[fictional location proximity reference],H-5809038,en,Violent Threat,THREAT_FAM_X1-P11,0.803,Yes
CT-000142,A-0002,C-001,[ambiguous grievance],H-8048511,es,Violent Threat,THREAT_FAM_X1-P07,0.99,Yes
