event_id,case_id,account_id,session_id,content_id,target_id,timestamp,event_type,channel,model_surface,action,raw_risk_score,pattern_id,ground_truth_case_label
EVT-0000001,C-001,A-0001,S-00001,CT-000001,TGT-001,2026-07-01T12:06:00+00:00,post,chat,chat,shared,0.891,P03,True Positive - Credible High Risk
EVT-0000002,C-001,A-0007,S-00025,CT-000002,TGT-001,2026-07-04T17:44:00+00:00,post,system,api,shared,0.827,,True Positive - Credible High Risk
EVT-0000003,C-001,A-0006,S-00020,CT-000003,TGT-001,2026-07-03T09:25:00+00:00,post,account,api,shared,0.733,P04,True Positive - Credible High Risk
EVT-0000004,C-001,A-0007,S-00024,CT-000004,TGT-001,2026-07-01T16:13:00+00:00,post,system,moderation_queue,submitted,0.99,P07,True Positive - Credible High Risk
EVT-0000005,C-001,A-0007,S-00026,CT-000005,TGT-001,2026-07-04T07:45:00+00:00,post,account,moderation_queue,updated,0.663,P04,True Positive - Credible High Risk
EVT-0000006,C-001,A-0007,S-00024,,TGT-001,2026-07-05T08:09:00+00:00,search,system,moderation_queue,submitted,0.623,P03,True Positive - Credible High Risk
EVT-0000007,C-001,A-0004,S-00013,CT-000006,TGT-001,2026-07-03T02:17:00+00:00,report,chat,moderation_queue,submitted,0.99,,True Positive - Credible High Risk
EVT-0000008,C-001,A-0004,S-00012,,TGT-001,2026-07-05T07:52:00+00:00,login,system,api,submitted,0.669,,True Positive - Credible High Risk
EVT-0000009,C-001,A-0001,S-00001,,TGT-001,2026-07-01T13:43:00+00:00,migration_signal,system,api,submitted,0.814,P04,True Positive - Credible High Risk
EVT-0000010,C-001,A-0002,S-00004,CT-000007,TGT-001,2026-07-01T08:01:00+00:00,post,chat,account_layer,created,0.88,,True Positive - Credible High Risk
EVT-0000011,C-001,A-0002,S-00003,,TGT-001,2026-07-02T19:26:00+00:00,login,chat,account_layer,submitted,0.687,P04,True Positive - Credible High Risk
EVT-0000012,C-001,A-0006,S-00020,,TGT-001,2026-07-05T00:20:00+00:00,search,reporting,chat,submitted,0.835,,True Positive - Credible High Risk
EVT-0000013,C-001,A-0004,S-00014,,,2026-07-04T00:56:00+00:00,profile_update,system,api,created,0.643,P04,True Positive - Credible High Risk
EVT-0000014,C-001,A-0004,S-00014,,,2026-07-04T08:39:00+00:00,migration_signal,account,chat,submitted,0.713,,True Positive - Credible High Risk
EVT-0000015,C-001,A-0002,S-00006,CT-000008,TGT-001,2026-07-02T08:50:00+00:00,report,chat,moderation_queue,shared,0.777,P07,True Positive - Credible High Risk
EVT-0000016,C-001,A-0002,S-00006,CT-000009,TGT-001,2026-07-04T21:30:00+00:00,post,system,chat,viewed,0.685,P03,True Positive - Credible High Risk
EVT-0000017,C-001,A-0002,S-00003,,TGT-001,2026-07-03T12:25:00+00:00,login,account,moderation_queue,viewed,0.89,P11,True Positive - Credible High Risk
EVT-0000018,C-001,A-0003,S-00009,CT-000010,TGT-001,2026-07-02T06:37:00+00:00,message,account,api,updated,0.825,P11,True Positive - Credible High Risk
EVT-0000019,C-001,A-0003,S-00008,CT-000011,TGT-001,2026-07-01T12:50:00+00:00,post,search,moderation_queue,shared,0.746,P11,True Positive - Credible High Risk
EVT-0000020,C-001,A-0007,S-00025,,,2026-07-03T21:12:00+00:00,login,search,moderation_queue,submitted,0.618,P04,True Positive - Credible High Risk
EVT-0000021,C-001,A-0006,S-00020,,TGT-001,2026-07-03T10:38:00+00:00,search,reporting,chat,updated,0.694,,True Positive - Credible High Risk
EVT-0000022,C-001,A-0007,S-00025,CT-000012,TGT-001,2026-07-03T14:15:00+00:00,post,account,api,created,0.99,P07,True Positive - Credible High Risk
EVT-0000023,C-001,A-0003,S-00011,CT-000013,TGT-001,2026-07-02T04:40:00+00:00,message,account,account_layer,created,0.791,,True Positive - Credible High Risk
EVT-0000024,C-001,A-0008,S-00029,CT-000014,TGT-001,2026-07-04T14:25:00+00:00,report,system,moderation_queue,submitted,0.676,P03,True Positive - Credible High Risk
EVT-0000025,C-001,A-0005,S-00016,CT-000015,TGT-001,2026-07-02T13:23:00+00:00,post,chat,api,viewed,0.788,P11,True Positive - Credible High Risk
EVT-0000026,C-001,A-0002,S-00005,,TGT-001,2026-07-04T17:50:00+00:00,migration_signal,search,account_layer,updated,0.619,,True Positive - Credible High Risk
EVT-0000027,C-001,A-0004,S-00012,,TGT-001,2026-07-02T09:49:00+00:00,search,search,account_layer,shared,0.702,P04,True Positive - Credible High Risk
EVT-0000028,C-001,A-0006,S-00020,CT-000016,TGT-001,2026-07-04T10:11:00+00:00,post,search,moderation_queue,created,0.722,P03,True Positive - Credible High Risk
EVT-0000029,C-001,A-0001,S-00001,,TGT-001,2026-07-01T18:19:00+00:00,login,account,chat,shared,0.921,,True Positive - Credible High Risk
EVT-0000030,C-001,A-0002,S-00003,CT-000017,TGT-001,2026-07-01T12:39:00+00:00,report,system,chat,created,0.89,,True Positive - Credible High Risk
EVT-0000031,C-001,A-0007,S-00026,,TGT-001,2026-07-02T14:38:00+00:00,migration_signal,chat,moderation_queue,viewed,0.777,P11,True Positive - Credible High Risk
EVT-0000032,C-001,A-0008,S-00029,CT-000018,TGT-001,2026-07-03T03:50:00+00:00,post,system,chat,created,0.871,P04,True Positive - Credible High Risk
EVT-0000033,C-001,A-0003,S-00009,CT-000019,TGT-001,2026-07-04T02:50:00+00:00,message,system,chat,viewed,0.826,P11,True Positive - Credible High Risk
EVT-0000034,C-001,A-0006,S-00021,,,2026-07-01T20:29:00+00:00,migration_signal,reporting,chat,submitted,0.653,P04,True Positive - Credible High Risk
EVT-0000035,C-001,A-0003,S-00008,CT-000020,TGT-001,2026-07-04T17:26:00+00:00,post,account,chat,viewed,0.86,P04,True Positive - Credible High Risk
EVT-0000036,C-001,A-0005,S-00015,CT-000021,TGT-001,2026-07-03T12:57:00+00:00,post,reporting,moderation_queue,shared,0.73,P11,True Positive - Credible High Risk
EVT-0000037,C-001,A-0007,S-00024,CT-000022,TGT-001,2026-07-01T11:33:00+00:00,post,search,api,updated,0.878,P04,True Positive - Credible High Risk
EVT-0000038,C-001,A-0004,S-00012,CT-000023,TGT-001,2026-07-02T02:12:00+00:00,post,account,moderation_queue,submitted,0.814,P04,True Positive - Credible High Risk
EVT-0000039,C-001,A-0008,S-00029,CT-000024,TGT-001,2026-07-03T02:37:00+00:00,post,system,api,created,0.706,,True Positive - Credible High Risk
EVT-0000040,C-001,A-0004,S-00012,,,2026-07-01T13:16:00+00:00,login,system,moderation_queue,viewed,0.802,P11,True Positive - Credible High Risk
EVT-0000041,C-001,A-0005,S-00015,CT-000025,TGT-001,2026-07-04T03:28:00+00:00,post,chat,account_layer,updated,0.811,,True Positive - Credible High Risk
EVT-0000042,C-001,A-0005,S-00018,CT-000026,TGT-001,2026-07-04T10:56:00+00:00,report,system,api,updated,0.707,P04,True Positive - Credible High Risk
EVT-0000043,C-001,A-0007,S-00024,,,2026-07-03T19:45:00+00:00,login,system,api,shared,0.899,,True Positive - Credible High Risk
EVT-0000044,C-001,A-0006,S-00021,CT-000027,TGT-001,2026-07-04T00:33:00+00:00,post,search,moderation_queue,created,0.89,P03,True Positive - Credible High Risk
EVT-0000045,C-001,A-0004,S-00014,CT-000028,TGT-001,2026-07-05T04:48:00+00:00,message,chat,moderation_queue,created,0.777,,True Positive - Credible High Risk
EVT-0000046,C-001,A-0003,S-00011,CT-000029,TGT-001,2026-07-04T00:02:00+00:00,post,reporting,moderation_queue,updated,0.869,P11,True Positive - Credible High Risk
EVT-0000047,C-001,A-0001,S-00002,CT-000030,TGT-001,2026-07-04T10:36:00+00:00,report,search,moderation_queue,viewed,0.778,P11,True Positive - Credible High Risk
EVT-0000048,C-001,A-0002,S-00003,,,2026-07-03T16:50:00+00:00,profile_update,search,account_layer,submitted,0.704,,True Positive - Credible High Risk
EVT-0000049,C-001,A-0008,S-00029,CT-000031,TGT-001,2026-07-04T10:30:00+00:00,post,chat,api,shared,0.762,,True Positive - Credible High Risk
EVT-0000050,C-001,A-0005,S-00018,,TGT-001,2026-07-02T21:22:00+00:00,search,search,chat,created,0.941,P07,True Positive - Credible High Risk
EVT-0000051,C-001,A-0006,S-00021,CT-000032,TGT-001,2026-07-04T17:43:00+00:00,post,account,api,submitted,0.839,P04,True Positive - Credible High Risk
EVT-0000052,C-001,A-0001,S-00002,CT-000033,TGT-001,2026-07-05T03:16:00+00:00,post,system,api,created,0.658,P11,True Positive - Credible High Risk
EVT-0000053,C-001,A-0001,S-00001,,,2026-07-04T21:48:00+00:00,migration_signal,system,moderation_queue,updated,0.741,,True Positive - Credible High Risk
EVT-0000054,C-001,A-0007,S-00022,CT-000034,TGT-001,2026-07-04T19:23:00+00:00,message,system,api,updated,0.786,P04,True Positive - Credible High Risk
EVT-0000055,C-001,A-0002,S-00005,CT-000035,TGT-001,2026-07-03T00:30:00+00:00,post,chat,chat,viewed,0.99,P07,True Positive - Credible High Risk
EVT-0000056,C-001,A-0008,S-00029,CT-000036,TGT-001,2026-07-05T03:00:00+00:00,post,search,moderation_queue,updated,0.893,P04,True Positive - Credible High Risk
EVT-0000057,C-001,A-0004,S-00012,,TGT-001,2026-07-04T09:28:00+00:00,login,account,chat,shared,0.942,,True Positive - Credible High Risk
EVT-0000058,C-001,A-0006,S-00021,,TGT-001,2026-07-05T01:35:00+00:00,search,reporting,account_layer,viewed,0.68,,True Positive - Credible High Risk
EVT-0000059,C-001,A-0002,S-00003,CT-000037,TGT-001,2026-07-04T20:22:00+00:00,post,search,moderation_queue,viewed,0.935,P07,True Positive - Credible High Risk
EVT-0000060,C-001,A-0005,S-00018,,TGT-001,2026-07-01T09:27:00+00:00,search,system,moderation_queue,created,0.884,P04,True Positive - Credible High Risk
EVT-0000061,C-001,A-0006,S-00021,,,2026-07-01T12:07:00+00:00,login,reporting,moderation_queue,submitted,0.765,P04,True Positive - Credible High Risk
EVT-0000062,C-001,A-0005,S-00018,CT-000038,TGT-001,2026-07-02T10:59:00+00:00,message,account,account_layer,updated,0.727,P04,True Positive - Credible High Risk
EVT-0000063,C-001,A-0002,S-00006,,TGT-001,2026-07-01T11:36:00+00:00,search,system,api,submitted,0.705,P03,True Positive - Credible High Risk
EVT-0000064,C-001,A-0005,S-00015,CT-000039,TGT-001,2026-07-01T18:57:00+00:00,message,account,account_layer,shared,0.667,,True Positive - Credible High Risk
EVT-0000065,C-001,A-0002,S-00006,CT-000040,TGT-001,2026-07-04T22:50:00+00:00,post,search,chat,submitted,0.709,,True Positive - Credible High Risk
EVT-0000066,C-001,A-0002,S-00004,CT-000041,TGT-001,2026-07-03T06:12:00+00:00,post,reporting,account_layer,created,0.82,P04,True Positive - Credible High Risk
EVT-0000067,C-001,A-0007,S-00026,CT-000042,TGT-001,2026-07-02T23:01:00+00:00,post,search,account_layer,shared,0.753,P03,True Positive - Credible High Risk
EVT-0000068,C-001,A-0007,S-00022,,TGT-001,2026-07-03T04:10:00+00:00,search,search,api,viewed,0.646,P11,True Positive - Credible High Risk
EVT-0000069,C-001,A-0001,S-00002,CT-000043,TGT-001,2026-07-05T08:45:00+00:00,post,search,moderation_queue,updated,0.897,,True Positive - Credible High Risk
EVT-0000070,C-001,A-0007,S-00025,CT-000044,TGT-001,2026-07-02T00:52:00+00:00,message,system,moderation_queue,updated,0.871,P03,True Positive - Credible High Risk
EVT-0000071,C-001,A-0002,S-00004,CT-000045,TGT-001,2026-07-03T01:15:00+00:00,post,system,chat,submitted,0.707,P04,True Positive - Credible High Risk
EVT-0000072,C-001,A-0001,S-00002,CT-000046,TGT-001,2026-07-02T05:52:00+00:00,post,reporting,moderation_queue,updated,0.781,P07,True Positive - Credible High Risk
EVT-0000073,C-001,A-0004,S-00012,CT-000047,TGT-001,2026-07-04T15:37:00+00:00,post,system,chat,updated,0.789,P03,True Positive - Credible High Risk
EVT-0000074,C-001,A-0008,S-00029,,TGT-001,2026-07-02T22:51:00+00:00,login,search,moderation_queue,submitted,0.771,,True Positive - Credible High Risk
EVT-0000075,C-001,A-0004,S-00013,CT-000048,TGT-001,2026-07-04T20:54:00+00:00,post,chat,api,created,0.74,P11,True Positive - Credible High Risk
EVT-0000076,C-001,A-0007,S-00026,CT-000049,TGT-001,2026-07-02T00:29:00+00:00,post,chat,api,updated,0.889,,True Positive - Credible High Risk
EVT-0000077,C-001,A-0003,S-00007,,,2026-07-02T17:27:00+00:00,migration_signal,system,account_layer,submitted,0.751,P04,True Positive - Credible High Risk
EVT-0000078,C-001,A-0004,S-00014,,TGT-001,2026-07-01T13:36:00+00:00,search,search,chat,shared,0.908,,True Positive - Credible High Risk
EVT-0000079,C-001,A-0008,S-00029,CT-000050,TGT-001,2026-07-01T23:45:00+00:00,post,system,chat,shared,0.99,P03,True Positive - Credible High Risk
EVT-0000080,C-001,A-0002,S-00004,,TGT-001,2026-07-04T11:17:00+00:00,migration_signal,system,api,viewed,0.579,P04,True Positive - Credible High Risk
EVT-0000081,C-001,A-0007,S-00022,,TGT-001,2026-07-04T03:23:00+00:00,search,account,account_layer,shared,0.799,P11,True Positive - Credible High Risk
EVT-0000082,C-001,A-0006,S-00020,CT-000051,TGT-001,2026-07-04T23:53:00+00:00,post,account,api,updated,0.97,,True Positive - Credible High Risk
EVT-0000083,C-001,A-0001,S-00001,,TGT-001,2026-07-02T12:53:00+00:00,migration_signal,reporting,chat,created,0.796,,True Positive - Credible High Risk
EVT-0000084,C-001,A-0001,S-00001,CT-000052,TGT-001,2026-07-02T17:52:00+00:00,post,reporting,moderation_queue,submitted,0.857,P07,True Positive - Credible High Risk
EVT-0000085,C-001,A-0003,S-00010,CT-000053,TGT-001,2026-07-02T08:11:00+00:00,report,system,account_layer,created,0.756,P03,True Positive - Credible High Risk
EVT-0000086,C-001,A-0002,S-00005,CT-000054,TGT-001,2026-07-03T02:15:00+00:00,post,reporting,moderation_queue,viewed,0.651,,True Positive - Credible High Risk
EVT-0000087,C-001,A-0005,S-00017,,,2026-07-03T08:37:00+00:00,login,account,api,shared,0.747,,True Positive - Credible High Risk
EVT-0000088,C-001,A-0001,S-00002,,TGT-001,2026-07-04T15:38:00+00:00,search,reporting,account_layer,created,0.913,P07,True Positive - Credible High Risk
EVT-0000089,C-001,A-0002,S-00003,CT-000055,TGT-001,2026-07-05T08:00:00+00:00,message,search,moderation_queue,viewed,0.731,,True Positive - Credible High Risk
EVT-0000090,C-001,A-0007,S-00023,CT-000056,TGT-001,2026-07-03T08:01:00+00:00,post,account,account_layer,created,0.943,P04,True Positive - Credible High Risk
EVT-0000091,C-001,A-0003,S-00009,CT-000057,TGT-001,2026-07-02T18:47:00+00:00,post,system,moderation_queue,shared,0.941,P04,True Positive - Credible High Risk
EVT-0000092,C-001,A-0004,S-00012,CT-000058,TGT-001,2026-07-04T15:29:00+00:00,post,account,api,updated,0.805,P07,True Positive - Credible High Risk
