session_id,account_id,device_id,ip_cluster_id,login_time,logout_time,geo_region,network_type,user_agent_family
S-00001,A-0001,DEV-001,IPC-X01,2026-07-03T16:05:00+00:00,2026-07-03T18:35:00+00:00,US-Northeast,public_wifi,mobile_app
S-00002,A-0001,DEV-X01,IPC-X01,2026-07-02T15:56:00+00:00,2026-07-02T16:43:00+00:00,US-Northeast,public_wifi,mobile_app
S-00003,A-0002,DEV-002,IPC-X01,2026-07-01T21:03:00+00:00,2026-07-01T22:26:00+00:00,US-South,public_wifi,chrome
S-00004,A-0002,DEV-002,IPC-X01,2026-07-04T07:06:00+00:00,2026-07-04T09:56:00+00:00,US-South,residential,safari
S-00005,A-0002,DEV-002,IPC-X01,2026-07-02T08:58:00+00:00,2026-07-02T09:45:00+00:00,US-South,public_wifi,mobile_app
S-00006,A-0002,DEV-X02,IPC-X01,2026-07-02T23:32:00+00:00,2026-07-02T23:40:00+00:00,US-South,public_wifi,safari
S-00007,A-0003,DEV-003,IPC-X01,2026-07-01T14:59:00+00:00,2026-07-01T17:20:00+00:00,US-South,mobile,safari
S-00008,A-0003,DEV-003,IPC-X01,2026-07-01T19:30:00+00:00,2026-07-01T20:43:00+00:00,US-South,datacenter,firefox
S-00009,A-0003,DEV-003,IPC-X01,2026-07-03T07:51:00+00:00,2026-07-03T09:33:00+00:00,US-South,public_wifi,chrome
S-00010,A-0003,DEV-003,IPC-X01,2026-07-04T03:12:00+00:00,2026-07-04T05:49:00+00:00,US-South,datacenter,chrome
S-00011,A-0003,DEV-003,IPC-X01,2026-07-01T14:10:00+00:00,2026-07-01T16:33:00+00:00,US-South,public_wifi,mobile_app
S-00012,A-0004,DEV-002,IPC-X01,2026-07-04T01:19:00+00:00,2026-07-04T02:20:00+00:00,US-West,mobile,chrome
S-00013,A-0004,DEV-X02,IPC-X01,2026-07-03T21:43:00+00:00,2026-07-04T00:09:00+00:00,US-West,residential,safari
S-00014,A-0004,DEV-002,IPC-X01,2026-07-04T03:34:00+00:00,2026-07-04T04:43:00+00:00,US-West,mobile,safari
S-00015,A-0005,DEV-002,IPC-41,2026-07-02T02:46:00+00:00,2026-07-02T05:45:00+00:00,US-Midwest,residential,chrome
S-00016,A-0005,DEV-002,IPC-70,2026-07-03T14:58:00+00:00,2026-07-03T16:33:00+00:00,US-Midwest,datacenter,safari
